"source","description","date","curator","revision","Increased abundance in Group 1","NCBI","Experiment","Study","Page Name"
"Supplemental Table S7 + S3","Differentially abundant taxa (phylum‐OTU level) between controls and non‐advanced or advanced conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.","2018-09-05","Marianthi Thomatos","Shaimaa Elsafoury","decreased","2005519,1117,990719,140625,28050,28211","Experiment 7","Study 1","Signature 2"
"Figure 3 +text","Significant taxa by Wilcoxon signed-rank in paired tumor and normal tissue. Box plots representing relative abundances of taxa observed to be significantly different between tumor (orange) and adjacent normal (blue) samples by paired Wilcoxon signed-rank testing after correction for FDR.","2018-09-05","Nidhi Saini","Shaimaa Elsafoury","increased","1737406,543311","Experiment 1","Study 2","Signature 1"
"Figure 3 +text","Significant taxa by Wilcoxon signed-rank in paired tumor and normal tissue. Box plots representing relative abundances of taxa observed to be significantly different between tumor (orange) and adjacent normal (blue) samples by paired Wilcoxon signed-rank testing after correction for FDR.","","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","201174,1760,2037,2049,1654","Experiment 1","Study 2","Signature 2"
"Figure 4 +text","Relative abundances of differentially represented taxa stratified by T-stage. Box plots representing relative abundances of phylum Actinobacteria (top), genus Actinomyces (middle), and genus Parvimonas (bottom) stratified by T-stage.","","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","543311","Experiment 2","Study 2","Signature 1"
"Figure 4 +text","Relative abundances of differentially represented taxa stratified by T-stage. Box plots representing relative abundances of phylum Actinobacteria (top), genus Actinomyces (middle), and genus Parvimonas (bottom) stratified by T-stage.","","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","1654,201174","Experiment 2","Study 2","Signature 2"
"Figure 4 +text","Relative abundances of differentially represented taxa stratified by T-stage. Box plots representing relative abundances of phylum Actinobacteria (top), genus Actinomyces (middle), and genus Parvimonas (bottom) stratified by T-stage.","","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","543311","Experiment 3","Study 2","Signature 1"
"Figure 4 +text","Relative abundances of differentially represented taxa stratified by T-stage. Box plots representing relative abundances of phylum Actinobacteria (top), genus Actinomyces (middle), and genus Parvimonas (bottom) stratified by T-stage.","","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","201174","Experiment 3","Study 2","Signature 2"
"Table 2","Fecal microbes independently associated with colorectal cancer","","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","848,836","Experiment 1","Study 3","Signature 1"
"Table 2","Fecal microbes independently associated with colorectal cancer","","Nidhi Saini","Shaimaa Elsafoury","decreased","186801,186803","Experiment 1","Study 3","Signature 2"
"Table 2 and Fig 5","Genera that are statistically signifcantly diferent between the two groups hcv patients and healthy participants  (non-parametric t test). All participants were male.","","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","469,838,29465,33024,72274,468,171549,200643,976","Experiment 1","Study 4","Signature 1"
"Table 2 and Fig 5","Genera that are statistically signifcantly diferent between the two groups hcv patients and healthy participants  (non-parametric t test). All participants were male.","","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","375288,1263,574697,201174,1760,1678,85004,31953,171551,31969,544448,53246,267888,135623,39948,255528,278082,256845","Experiment 1","Study 4","Signature 2"
"Table 2","Metastats Analysis of Differential Abundance of moderate and severe COPD Lung microbiome compared to controls","2018-09-10","Fatima Zohra","Shaimaa Elsafoury","increased","848,32067,k__Bacteria;p__Actinobacteria; c__Actinobacteria ;o__Coriobacteriales,84107,1380,84162,133925,1839,1268,32207,2049,1654,1678,186826,1300,1301,186827,46123,526525,128827,118747,123375,31977,39948,29465,970,82202,186803,43996,265975,830,186806,1730,   1257, 32066,203491,203490,1129771,203492,204441,186650,206351,f__neisseriaceae,135624,  84642,642,613,213118,213119,893,29547,213849,72294,194,156973,195950,838,1016,52228,543311,653683","Experiment 1","Study 5","Signature 1"
"Table 2","Metastats Analysis of Differential Abundance of moderate and severe COPD Lung microbiome compared to controls","2018-09-10","Fatima Zohra","Shaimaa Elsafoury","decreased","1485,1470358,88138,85031,2023,186824,544,1663","Experiment 1","Study 5","Signature 2"
"Table 2","Metastats Analysis of Differential Abundance of moderate and severe COPD Lung microbiome compared to controls","2019-07-08","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","135624,213118,84642,213121,1839,289201,1485,186650,642","Experiment 2","Study 5","Signature 1"
"Table 3","relative abundances of top 4 phyla found in all samples and representative species from the first 3 phyla.","","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","40520,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_rectale","Experiment 1","Study 6","Signature 1"
"Table 2 + Table 3 +  Table 5 + Table 6 + Table 8","Significant fecal microflora of autistic and control children","2018-09-11","Marianthi Thomatos","Shaimaa Elsafoury","increased","191303,816,286729,872,258514,375288,901,876,58621,821,976,1224","Experiment 1","Study 7","Signature 1"
"Table 2 + Table 3 +  Table 5 + Table 6 + Table 8","Significant fecal microflora of autistic and control children","2018-09-11","Marianthi Thomatos","Shaimaa Elsafoury","decreased","46255,1485,113286,1263,109326,39948,1578,1243,253238,31983,114627,52784,1301,1683,1679,1678,218538,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;s__[Clostridium]_leptum,1239,201174,102106","Experiment 1","Study 7","Signature 2"
"Figure 2 + Text","Relative abundances (%) of bacteria were determined in feces from human adults with type 2 diabetes and non-diabetic adult (all are males)","2018-09-20","Phyu Han","Shaimaa Elsafoury","increased","28216","Experiment 1","Study 8","Signature 1"
"Figure 2 + Text","Relative abundances (%) of bacteria were determined in feces from human adults with type 2 diabetes and non-diabetic adult (all are males)","2018-09-21","Phyu Han","Shaimaa Elsafoury","decreased","1239,186801","Experiment 1","Study 8","Signature 2"
"Figure 3 +text","Species compositions of the Breast Caner and Non-cancerous Adjacent tissues","2018-10-04","Phyu Han","Shaimaa Elsafoury","increased","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_phlei,231049,219301,s__mycobacterium_fortiutim,1445,28901","Experiment 1","Study 9","Signature 1"
"Figure 3 +text","Species compositions of the Breast Caner and Non-cancerous Adjacent tissues","2018-10-04","Phyu Han","Shaimaa Elsafoury","decreased","40216,s__mycobacterium_barkeri,329,562","Experiment 1","Study 9","Signature 2"
"Figure 3","Bacteria that presented higher relative abundance in cervical lesions using LEfse","2018-10-06","Phyu Han","Shaimaa Elsafoury","increased","437755","Experiment 1","Study 10","Signature 1"
"Figure 3","Bacteria that presented higher relative abundance in cervical lesions using LEfse","2019-07-18","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","2702,1375,1681,215580","Experiment 2","Study 10","Signature 1"
"Figure 4","Gardnerella vaginalis abundance longitudinal analysis at six and twelve months postpartum in paired samples","2019-07-17","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","2702","Experiment 1","Study 11","Signature 1"
"Table 2","Mulivariate odd ratios of species according to different types of HPV","2018-11-06","Phyu Han","Shaimaa Elsafoury","increased","387661","Experiment 1","Study 12","Signature 1"
"Table 2","Mulivariate odd ratios of species according to different types of HPV","2018-11-06","Phyu Han","Shaimaa Elsafoury","increased","2702,2130","Experiment 2","Study 12","Signature 1"
"Table 2","Mulivariate odd ratios of species according to different types of HPV","2018-11-06","Phyu Han","Shaimaa Elsafoury","increased","47770","Experiment 3","Study 12","Signature 1"
"Table 2","Mulivariate odd ratios of species according to different types of HPV","2019-07-29","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","39485","Experiment 4","Study 12","Signature 1"
"Figure 4","LEfSe showing the differences in the 18 most abundant species according to Cervical Intraepithelial Neoplasia (CIN) status","2018-12-01","Phyu Han","Shaimaa Elsafoury","increased","47770,817,1311,827","Experiment 1","Study 13","Signature 1"
"Figure 4","LEfSe showing the differences in the 18 most abundant species according to Cervical Intraepithelial Neoplasia (CIN) status","2018-12-01","Phyu Han","Shaimaa Elsafoury","decreased","38293,109790,82135","Experiment 1","Study 13","Signature 2"
"Figure 4","LEfSe showing the differences in the 18 most abundant species according to HPV infection","2019-07-22","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","1311,817,316,1261","Experiment 2","Study 13","Signature 1"
"Figure 4","LEfSe showing the differences in the 18 most abundant species according to HPV infection","2019-07-22","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","1584","Experiment 2","Study 13","Signature 2"
"Figure 4","Significant differentially abundant OTU of intr-aoral halitosis and Control","2018-12-04","Phyu Han","Shaimaa Elsafoury","increased","739,194,195950,39948,1257,970,32067,2740,186802,543311,157,1016,416916,838","Experiment 1","Study 14","Signature 1"
"Figure 4","Significant differentially abundant OTU of intra-oral halitosis and Control","2018-12-04","Phyu Han","Shaimaa Elsafoury","decreased","1301,2047,437755,265975,724,729,416916,f__gemellaceae,838","Experiment 1","Study 14","Signature 2"
"Table 2+ Figure 4+ Supplemental Table S2","Phlotypes in placental microbiota significantly different between GDM and NDM groups","","Fatima Zohra","Shaimaa Elsafoury","increased","1224,33057,80840,356,506","Experiment 1","Study 15","Signature 1"
"Table 2+ Figure 4+ Supplemental Table S2","Phlotypes in placental microbiota significantly different between GDM and NDM groups","","Fatima Zohra","Shaimaa Elsafoury","decreased","976,67819,55080,935200,1578,231454,171549,526525,574975,119069,795748,1090,200643,44675,795747,33958,206349,186822","Experiment 1","Study 15","Signature 2"
"Figure 6B + Data S1","Differential abundant taxa in gut microbiota in response to melatonin treatment","2018-09-18","Marianthi Thomatos","Shaimaa Elsafoury","increased","31980,171552,1263,248744,239759,572511","Experiment 1","Study 16","Signature 1"
"Figure 6B + Data S1","Differential abundant taxa in gut microbiota in response to melatonin treatment","2018-09-18","Marianthi Thomatos","Shaimaa Elsafoury","decreased","816,283168,109326,574697,990719,209,990721,35832,544448,459786","Experiment 1","Study 16","Signature 2"
"Figure 6B + Data S1","Differential abundant taxa in gut microbiota in response to melatonin treatment","2018-09-18","Marianthi Thomatos","Shaimaa Elsafoury","increased","583,283168,209,109326,872,194924,574697,239934,1920251","Experiment 2","Study 16","Signature 1"
"Figure 6B + Data S1 + Figure 7","Differential abundant taxa in gut microbiota in response to melatonin treatment","2018-09-18","Marianthi Thomatos","Shaimaa Elsafoury","decreased","239759,244127,152490","Experiment 2","Study 16","Signature 2"
"Figure 1","Comparison of relative abundance at the bacterial phylum and genus levels between healthy controls and generalized anxiety disorder groups","","Fatima Zohra","Shaimaa Elsafoury","increased","32066,976,848,33038,816,946234,203490,203492,203491,1432051,1505663,1522,815,171549,200643","Experiment 1","Study 17","Signature 1"
"Figure 1","Comparison of relative abundance at the bacterial phylum and genus levels between healthy controls and generalized anxiety disorder groups","","Fatima Zohra","Shaimaa Elsafoury","decreased","1239,580596,40544,28050,216851,292632,841,186801,186802,541000,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_rectale,186807,39948,46205,186803,28216,80840,506,438033,39485,194924,28221,213115,35832,84107,84999,990719","Experiment 1","Study 17","Signature 2"
"Figure 2","Comparison of relative abundance at the bacterial phylum and genus levels between healthy controls and treatment naiive generalized anxiety disorder groups","2019-07-24","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","1578,848,33038,816,561,620,815,171549,200643,976,543,91347,375288,33958,1505663,33039,1522,946234,203492,203491,203490,32066","Experiment 2","Study 17","Signature 1"
"Figure 2","Comparison of relative abundance at the bacterial phylum and genus levels between healthy controls and treatment naiive generalized anxiety disorder groups","2019-07-24","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","28050,841,292632,216851,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_rectale,244127,39497,574697,577310,102106,580596,84107,84999,39485,438033,42322,397864,1407607,846,75682,990719,290054,437755,2740,186807,186803,541000,186802,186801,1239,171552","Experiment 2","Study 17","Signature 2"
"Data S4,S7,S8,S9,S10,S11,S13,S14","Relative abundance at the bacterial phylum, genus and species levesl between two strain mices fed low fat diet, fed high fat diet and high fat diet + indomethacin","2019-12-03","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","816,1485,841,1578,166486,106588,168384,1263067,1605,Lachnospiraceae
bacterium 7_1_58FAA,Clostridium protechasticum,360807,1239,459786,1730,830,1263,1017280,572511,189330,244127,292632,216851,203691,203682,200918,32066,508458,1117,28890,200795,1351,Candidatus Arthromitus sp. SFB-mouse, 351091, 89153,29347","Experiment 1","Study 18","Signature 1"
"Data S4,S7,S8,S9,S10,S11,S13,S14","Relative abundance at the bacterial phylum, genus and species levesl between two strain mices fed low fat diet, fed high fat diet and high fat diet + indomethacin","2019-12-03","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","239934,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_biforme,201174,74201,195950,838,239759,283168,375288,1090,65842,239935","Experiment 1","Study 18","Signature 2"
"Data S4,S7,S8,S9,S10,S11,S13,S14","Relative abundance at the bacterial phylum, genus and species levesl between two strain mices fed low fat diet, fed high fat diet and high fat diet + indomethacin","2019-12-03","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","1485,841,166486,168384,1263067,1605,360807,1351,1352,Candidatus Arthromitus sp. SFB-mouse,29347","Experiment 2","Study 18","Signature 1"
"Data S4,S7,S8,S9,S10,S11,S13,S14","Relative abundance at the bacterial phylum, genus and species levesl between two strain mices fed low fat diet, fed high fat diet and high fat diet + indomethacin","2019-12-03","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","239934,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_biforme,74201,203682,239935","Experiment 2","Study 18","Signature 2"
"Data S4,S7,S8,S9,S10,S11,S13,S14","Relative abundance at the bacterial phylum, genus and species levesl between two strain mices fed low fat diet, fed high fat diet and high fat diet + indomethacin","2019-12-03","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","816,976,1117,1090,65842","Experiment 3","Study 18","Signature 1"
"Data S4,S7,S8,S9,S10,S11,S13,S14","Relative abundance at the bacterial phylum, genus and species levesl between two strain mices fed low fat diet, fed high fat diet and high fat diet + indomethacin","2019-12-03","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","239934,s__eubacterium_biforme,74201,201174,244127,32066,203682,239935,1263068,s__clostridium_hiranous","Experiment 3","Study 18","Signature 2"
"Figure 4, S3","Microbial composition at phylum, genus and species level in healthy and schizophrenia cohorts","","Fatima Zohra","Shaimaa Elsafoury","increased","171552,838,1236,1224,135624,83770,543,91347,83763,203490,32066,203492,848,203491,31977,906,1578,33958,544,33024,904,872","Experiment 1","Study 19","Signature 1"
"Figure 4, S3","Microbial composition at phylum, genus and species level in healthy and schizophrenia cohorts","","Fatima Zohra","Shaimaa Elsafoury","decreased","1300,1301,33042,841,572511,506,186802,186801,1239,186803","Experiment 1","Study 19","Signature 2"
"Table 2 + text","Relative significant Abundance of Gut Microbiome Taxa in Patients With NASH and Without NASH","","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","815,816","Experiment 1","Study 20","Signature 1"
"Table 2 + text","Relative significant Abundance of Gut Microbiome Taxa in Patients With NASH and Without NASH","","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","838,171552","Experiment 1","Study 20","Signature 2"
"Table 3","Relative significant Abundance of Gut Microbiome Taxa in Patients With Significant F 2 Fibrosis and No/Mild Fibrosis (F0/F1 Stage)","","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","1263,815,816","Experiment 2","Study 20","Signature 1"
"Table 3","Relative significant  Abundance of Gut Microbiome Taxa in Patients With Significant F 2 Fibrosis and No/Mild Fibrosis (F0/F1 Stage)","","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","171552,838,128827","Experiment 2","Study 20","Signature 2"
"Table 1","Relative abundance comparision between Cameron County Hispanic Cohort (CCHC) and Human microbiome project (HMP) subject stool samples","2018-10-04","Marianthi Thomatos","Shaimaa Elsafoury","increased","1239,201174,186803,31977,84107,541000,171552,838,102106,841,1301,39948","Experiment 1","Study 21","Signature 1"
"Table 1","Relative abundance comparision between Cameron County Hispanic Cohort (CCHC) and Human microbiome project (HMP) subject stool samples","2018-10-04","Marianthi Thomatos","Shaimaa Elsafoury","decreased","976,815,171550,816,375288,239759","Experiment 1","Study 21","Signature 2"
"Figure 3","Differences in the content of bacterial taxa in PD patients and control subjects at the genus and species level","2018-10-18","Fatima Zohra","Shaimaa Elsafoury","increased","1578,990721,270497,119852,1678,626937,270498,97478,40518,100176","Experiment 1","Study 22","Signature 1"
"Figure 3","Differences in the content of bacterial taxa in PD patients and control subjects at the genus and species level","2018-10-18","Fatima Zohra","Shaimaa Elsafoury","decreased","189330,816,838,216851,204516,536633,1470350,310298,40519,88431,357276,165179,310297,33043","Experiment 1","Study 22","Signature 2"
"Figure 2+figure 1","Bacterias differentially represented in faeces from AD participants compared to controls","2018-10-25","Fatima Zohra","Shaimaa Elsafoury","increased","815,171550,k__Bacteria;p__Firmicutes;c__Bacilli;o_Gemellales;f_Gemellaceae,572511,816,239759,33024,35832,1378","Experiment 1","Study 23","Signature 1"
"Figure 2+figure 1","Bacterias differentially represented in faeces from AD participants compared to controls","2018-10-25","Fatima Zohra","Shaimaa Elsafoury","decreased","1239,201174,1678,39948,1485,f__turicibacteraceae,447020,541000,31953,31979,k__Bacteria;p__Firmicutes;c__Clostridia;o__ Clostridiales;f__ Mogibacteriaceae,186804","Experiment 1","Study 23","Signature 2"
"Figure 3b","LEfSe analysis identified the most differentially abundant taxa between healthy controls and CFS patients.Only taxa with LDA > 3 are shown.","2018-10-25","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","203490,203491,203492,848,32066,72294,194,213849,29547,815,816,331654,f__family_XI,1378","Experiment 1","Study 24","Signature 1"
"Figure 3b","LEfSe analysis identified the most differentially abundant taxa between healthy controls and CFS patients.Only taxa with LDA > 3 are shown.","2018-10-25","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","1236,31977,909932,909929,29465,724,712,135625,171551,836,475,351,286","Experiment 1","Study 24","Signature 2"
"Figure 4","Difference in microbial community composition of upper buttok skin between males and females","2018-10-25","","Shaimaa Elsafoury","increased","1300,1301,186827,186801,186802,31979,150022,186804,165779,31977,29465,360541,1653,1716,2037,85020,43668,32207,201174,1760,85023,33882,57495,117743,200644,49546,1016,469,36739,171412","Experiment 1","Study 25","Signature 1"
"Figure 4","Difference in microbial community composition of upper buttok skin between males and females","2018-10-25","","Shaimaa Elsafoury","decreased","33958,1578,31957,1743,85004,31953,2701,1224,1236,72274,468,212791,85019,1696","Experiment 1","Study 25","Signature 2"
"Text + Table 2","Intestinal Microbiota Is Influenced by Gender and Body Mass Index","2018-10-25","Marianthi Thomatos","Shaimaa Elsafoury","increased","35832,47678","Experiment 1","Study 26","Signature 1"
"Text + Table 2","Intestinal Microbiota Is Influenced by Gender and Body Mass Index","2018-10-25","Marianthi Thomatos","Shaimaa Elsafoury","decreased","310297","Experiment 1","Study 26","Signature 2"
"Text + Figure 2 +Table 2","Intestinal Microbiota Is Influenced by Gender and Body Mass Index","2018-10-25","Marianthi Thomatos","Shaimaa Elsafoury","increased","816","Experiment 2","Study 26","Signature 1"
"Text + Figure2 + Table 2","Intestinal Microbiota Is Influenced by Gender and Body Mass Index","2018-10-25","Marianthi Thomatos","Shaimaa Elsafoury","decreased","310297","Experiment 2","Study 26","Signature 2"
"Text, Figure S4","Pre-High fat diet (HFD) and Post-HF diet differential abundance in offspring according to foster mother genotype at lactation, wild type (WT) or fat-1 (balanced tissue n-6/n-3)","2018-10-31","Marianthi Thomatos","Shaimaa Elsafoury","increased","1485,31979,191303,128827,186807,2740,946234,526525,526524,574697,541000,580596,375288,1239,186801,186802","Experiment 1","Study 27","Signature 1"
"Text, Figure S4","Pre-High fat diet (HFD) and Post-HF diet differential abundance in offspring according to foster mother genotype at lactation, wild type (WT) or fat-1 (balanced tissue n-6/n-3)","2018-10-31","Marianthi Thomatos","Shaimaa Elsafoury","decreased","976,200643,171549,213849,29547,1224,815,816,28221,213115,171550,239759,397864,72293,209,194924,283168,872,174708,28138,1331051","Experiment 1","Study 27","Signature 2"
"Text, Figure S4","Pre-High fat diet (HFD) and Post-HF diet differential abundance in offspring according to foster mother genotype at lactation, wild type (WT) or fat-1 (balanced tissue n-6/n-3)","2018-10-31","Marianthi Thomatos","Shaimaa Elsafoury","increased","172900,256846,255528,128827,278082,1485,526525,526524,28138,244127,459786,946234,33958,1578,2740,186807,186826,91061,574697,541000,186803,375288,171551,1239,186801,186802,1313211","Experiment 2","Study 27","Signature 1"
"Text, Figure S4","Pre-High fat diet (HFD) and Post-HF diet differential abundance in offspring according to foster mother genotype at lactation, wild type (WT) or fat-1 (balanced tissue n-6/n-3)","2018-10-31","Marianthi Thomatos","Shaimaa Elsafoury","decreased","29547,213849,1224,28221,213115,72293,209,194924,815,816,283168,1331051","Experiment 2","Study 27","Signature 2"
"figure 5","taxonomy of differentially abundant microbiota between  ME/CFS and healthy individuals","2018-11-08","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","119852,84111,1357,244127,100883","Experiment 1","Study 28","Signature 1"
"figure 5","taxonomy of differentially abundant microbiota between  ME/CFS and healthy individuals","2018-11-08","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","2740,724,1380,1485,216851,1263,416916,1678,102106,40544","Experiment 1","Study 28","Signature 2"
"Figure 2","Taxonomic differences of fecal microbiota between Healthy Controls and Active Major Depressive Disorder groups","2018-11-08","Fatima Zohra","Shaimaa Elsafoury","increased","946234,574697,91347,543,375288,171551,239759,171550","Experiment 1","Study 29","Signature 1"
"Figure 2","Taxonomic differences of fecal microbiota between Healthy Controls and Active Major Depressive Disorder groups","2018-11-08","Fatima Zohra","Shaimaa Elsafoury","decreased","541000,216851,39948,712,135625,1263,724,186804,561,620","Experiment 1","Study 29","Signature 2"
"Figure 3","Taxonomic differences of fecal microbiota between Healthy Controls and Responded Major Depressive Disorder groups","2018-11-08","Fatima Zohra","Shaimaa Elsafoury","increased","574697,171551","Experiment 2","Study 29","Signature 1"
"Figure 3","Taxonomic differences of fecal microbiota between Healthy Controls and Responded Major Depressive Disorder groups","2018-11-08","Fatima Zohra","Shaimaa Elsafoury","decreased","1263,712,135625,724,1485,31979","Experiment 2","Study 29","Signature 2"
"table 1","Differentiately abundant mictobiota between Norwegian controls and Belgian controls.","2018-11-12","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","841,61170","Experiment 1","Study 30","Signature 1"
"table 1","Differentiately abundant mictobiota between Norwegian controls and Belgian controls","2018-11-12","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","816,239759,397864,838,375288","Experiment 1","Study 30","Signature 2"
"table 2","Differentiately abundant mictobiota between Norwegian CFS patients and Norwegian controls","2018-11-12","Shaimaa Elsafoury","Shaimaa Elsafoury","increased","239759,420345","Experiment 2","Study 30","Signature 1"
"table 2","Differentiately abundant mictobiota between Norwegian CFS patients and Norwegian controls","2018-11-12","Shaimaa Elsafoury","Shaimaa Elsafoury","decreased","841,61170,39948,84036","Experiment 2","Study 30","Signature 2"
