"antibiotics exclusion","location","condition","Group 0 sample size","Group 1 sample size","Group 0 name","Group 1 name","Group 1 definition","host species","body_site","sequencing type","16S variable region (lower bound)","16S variable region (upper bound)","sequencing platform","statistical test","LDA Score >","significance threshold","MHT correction","matched on","confounders controlled for","Pielou","Shannon","Chao1","Simpson","Inverse Simpson","Richness","Study","Page Name"
"","United States of America","colorectal cancer","89","42","controls","adenocarcinoma of colon and rectum patients","Not stated","Homo sapiens","feces","16S","3","4","Roche454","Logistic Regression","","0.05","No","sex, body mass index","age, sex, body mass index","","","","","","","Study 3","Experiment 1"
"3 months","Egypt","hepatitis","8","6","male healthy controls","HCV stage 4 male patients","Not stated","Homo sapiens","feces","16S","4","","Illumina","LEfSe","2","0.1","No","","","","decreased","decreased","decreased","","","Study 4","Experiment 1"
"2 months","United States of America","chronic obstructive pulmonary disease","10","22","controls","Chronic obstructive pulmonary disease","Not stated","Homo sapiens","lung","16S","3","","Roche454","Mann-Whitney (Wilcoxon)","","0.1","Yes","","age","","unchanged","","unchanged","","","Study 5","Experiment 1"
"2 months","United States of America","chronic obstructive pulmonary disease","8","14","moderate Chronic obstructive pulmonary disease","Severe","Not stated","Homo sapiens","lung","16S","3","","Roche454","Mann-Whitney (Wilcoxon)","","0.1","Yes","","age","","unchanged","","unchanged","","","Study 5","Experiment 2"
"","United States of America","non-alcoholic fatty liver disease","72","14","mild/moderate fibrosis","advanced fibrosis","Based on clinical, magnetic resonance, histology assessment; Mild/Moderate NAFLD: fibrosis 0-2. Advanced NAFLD: fibrosis 3-4","Homo sapiens","feces","WMS","","","Illumina","Random Forest Analysis","","0.05","Yes","","Shannon diversity,  body mass index, age","","","","","","","Study 6","Experiment 1"
"within preceding month","United States of America","autism","8","11","non-sibling control","severely autistic","Cases were diagnosed with autistic spectrum disorder. Moreover, they were evaluated for autism and their diagnoses were validated based on impairment in social skills, impairment in language skills and verbal communication, sensory disturbances, repetitive stereotypical behaviors, and gastrointestinal disturbances.","Homo sapiens","feces","16S","","","Roche454","t-test","","0.05","No","","","","","increased","","","increased","Study 7","Experiment 1"
"","Denmark","type II diabetes mellitus","10","10","Control","Diabetes Type 2","The diabetic group had elevated concentration of plasma glucose as determined by a fasting oral glucose tolerance test (OGTT)","Homo sapiens","feces","16S","4","","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","unchanged","","","","Study 8","Experiment 1"
"","United States of America","breast carcinoma","668","72","Control","Breast Cancer","Not stated","Homo sapiens","breast","16S","3","5","Illumina","DESeq2","","0.05","Yes","","","","","","","","","Study 9","Experiment 1"
"","Brazil","cervical glandular intraepithelial neoplasia","42","38","Normal tissue HIV patients","Cervical Intraepithelial Lesion HIV patients","Cases were identified by HIV rapid or ELISA test and subsequent Western blot following recommendations for HIV diagnosis by the Brazilian Ministry of Health.","Homo sapiens","uterus","16S","3","6","Illumina","LEfSe","","0.05","Yes","","","","","","","","","Study 10","Experiment 1"
"","Brazil","cervical glandular intraepithelial neoplasia","42","38","Normal tissue HIV patients","Cervical Intraepithelial Lesion HIV patients","Cases were identified by HIV rapid or ELISA test and subsequent Western blot following recommendations for HIV diagnosis by the Brazilian Ministry of Health.","Homo sapiens","uterus","16S","3","6","Illumina","LEfSe","","0.1","No","","","","","","","","","Study 10","Experiment 2"
"","Brazil","cervical glandular intraepithelial neoplasia","5","5","HIV pateints with normal tissue at 6 months","HIV patients with lesion at 12 months","Cases were identified by HIV rapid or ELISA test and subsequent Western blot following recommendations for HIV diagnosis by the Brazilian Ministry of Health.","Homo sapiens","uterus","16S","3","6","Illumina","Mann-Whitney (Wilcoxon)","","0.1","No","","","","","","","","","Study 11","Experiment 1"
"","South Korea","human papilloma virus infection","15","16","HPV clearance","HPV persistent","HPV DNA was detected using the Digene HC2 high-risk DNA test (Qiagen, Gaithersburg, MD, USA) with signal amplification and chemiluminescence for 13 types of HR-HPV scored in RLU/PC. A positive result indicated a concentration of 1 pg/ml or higher than the RLU/cutoff ratio (RLU of the specimen/mean RLU of 2 positive controls).","Homo sapiens","uterus","16S","","","Roche454","LEfSe","2","0.05","No","","age, menopause, contraception, smoking behavior","","unchanged","unchanged","","","","Study 12","Experiment 1"
"","South Korea","human papilloma virus infection","10","15","HPV negative","HPV clearance","HPV DNA was detected using the Digene HC2 high-risk DNA test (Qiagen, Gaithersburg, MD, USA) with signal amplification and chemiluminescence for 13 types of HR-HPV scored in RLU/PC. A positive result indicated a concentration of 1 pg/ml or higher than the RLU/cutoff ratio (RLU of the specimen/mean RLU of 2 positive controls).","Homo sapiens","uterus","16S","","","Roche454","LEfSe","2","0.05","No","","age, menopause, contraception, smoking behavior","","unchanged","unchanged","","","","Study 12","Experiment 2"
"","South Korea","human papilloma virus infection","31","10","HPV presistent and clearance","HPV negative","HPV DNA was detected using the Digene HC2 high-risk DNA test (Qiagen, Gaithersburg, MD, USA) with signal amplification and chemiluminescence for 13 types of HR-HPV scored in RLU/PC. A positive result indicated a concentration of 1 pg/ml or higher than the RLU/cutoff ratio (RLU of the specimen/mean RLU of 2 positive controls).","Homo sapiens","uterus","16S","","","Roche454","LEfSe","2","0.05","No","","age, menopause, contraception, smoking behavior","","unchanged","unchanged","","","","Study 12","Experiment 3"
"","South Korea","human papilloma virus infection","26","15","HPV presistent and negative","HPV clearance","HPV DNA was detected using the Digene HC2 high-risk DNA test (Qiagen, Gaithersburg, MD, USA) with signal amplification and chemiluminescence for 13 types of HR-HPV scored in RLU/PC. A positive result indicated a concentration of 1 pg/ml or higher than the RLU/cutoff ratio (RLU of the specimen/mean RLU of 2 positive controls).","Homo sapiens","uterus","16S","","","Roche454","LEfSe","2","0.05","No","","age, menopause, contraception, smoking behavior","","unchanged","unchanged","","","","Study 12","Experiment 4"
"","China","cervical glandular intraepithelial neoplasia","126","40","Cervical Intraepithelial Neoplasis -1","Cervical Intraepithelial Neoplasis +2","","Homo sapiens","uterus","16S","3","4","Illumina","LEfSe","2","0.05","Yes","","","","unchanged","","","","","Study 13","Experiment 1"
"","China","cervical glandular intraepithelial neoplasia","130","36","HPV -ve among pateints with Cervical Intraepithelial Neoplasia different severity status","HPV +ve","","Homo sapiens","uterus","16S","3","4","Illumina","LEfSe","2","0.05","Yes","","","","","","","","","Study 13","Experiment 2"
"3 months","Netherlands","oral halitosis","5","10","Control","Oral Halitosis","IOH patient group was selected based on an organoleptic score of >= 2 from the mouth and nose =< 1, having a VSC level > 160 ppb, and H2S > 4 nmol/ L (96 ppb) and CH3SH > 0.5 nmol/L (12 ppb) and a DPSI of =< 2","Homo sapiens","oral gland","16S","3","4","Illumina","DESeq2","","0.05","Yes","mean library size","","","unchanged","unchanged","","","","Study 14","Experiment 1"
"9 months","China","gestational diabetes","10","10","controls","Gestational diabetes mellitus","GDM was diagnosed when the fasting plasma glucose ≥5.1 mmol/L or 1 h post-OGTT glycemia ≥10.0 mmol/L or 2 h post-OGTT glycemia ≥8.5 mmol/L, according to the criteria set by International Association of Diabetes and Pregnancy Study Groups (IADPSG)","Homo sapiens","uterus","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","age,body mass index","","","unchanged","","","","unchanged","Study 15","Experiment 1"
"","United States of America","obesity","5","5","normal chow diet","high fat diet","Obesity is (BMI ≥ 30kg/m2)","Mus musculus","feces","16S","3","4","Illumina","LEfSe","","0.05","Yes","","","","unchanged","unchanged","unchanged","","","Study 16","Experiment 1"
"","United States of America","obesity","5","5","high fat diet","high fat diet + melatonin","Obesity is (BMI ≥ 30kg/m2)","Mus musculus","feces","16S","3","4","Illumina","LEfSe","","0.05","Yes","","","","decreased","decreased","increased","","","Study 16","Experiment 2"
"2 months","China","anxiety disorder","36","40","healthy controls","treatment active Generalized Anxiety disorder","The active state of GAD was defined as a baseline Hamilton Anxiety Rating Scale HAMA score ≥14 upon admission to the hospital. The remissive state was defined as a HAMA score < 7 after 3 months of treatment.","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","2","0.05","Yes","age, sex, body mass index","","","unchanged","","unchanged","","decreased","Study 17","Experiment 1"
"2 months","China","anxiety disorder","17","12","healthy controls","treatment naiive Generalized Anxiety disorder","The active state of GAD was defined as a baseline Hamilton Anxiety Rating Scale HAMA score ≥14 upon admission to the hospital. The remissive state was defined as a HAMA score < 7 after 3 months of treatment.","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","2","0.05","Yes","age, sex, body mass index","","","decreased","decreased","","","decreased","Study 17","Experiment 2"
"","Denmark","obesity","10","7","BL6- Low Fat","Sv129- Low Fat","(BL6): C57BL/6JBomTac mouse strain, (Sv129):  the obesity-resistant mouse strain 129S6/SvEvTac . LF:  (LF)low-fat diet, (HF) high fat diet without indomethacin,  (HFI) high fat diet supplemented with indomethacin.","Mus musculus","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","increased","","","","","Study 18","Experiment 1"
"","Denmark","obesity","10","8","BL6-High Fat without enomithacin","Sv129-High Fat without enomithacin","(BL6): C57BL/6JBomTac mouse strain, (Sv129):  the obesity-resistant mouse strain 129S6/SvEvTac . LF:  (LF)low-fat diet, (HF) high fat diet without indomethacin,  (HFI) high fat diet supplemented with indomethacin.","Mus musculus","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","","","","","Study 18","Experiment 2"
"","Denmark","obesity","10","9","BL6-High Fat with enomithacin","Sv129-High Fat with enomithacin","(BL6): C57BL/6JBomTac mouse strain, (Sv129):  the obesity-resistant mouse strain 129S6/SvEvTac . LF:  (LF)low-fat diet, (HF) high fat diet without indomethacin,  (HFI) high fat diet supplemented with indomethacin.","Mus musculus","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","","","","","Study 18","Experiment 3"
"6 months","China","schizophrenia","53","64","Healthy controls","Schizophrenia","The patients were examined and diagnosed according to the ICD-10 by two trained psychiatric physicians.","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","2","0.05","Yes","","","","unchanged","unchanged","unchanged","","","Study 19","Experiment 1"
"2 months","France","non-alcoholic fatty liver disease","22","35","Non-NASH","NASH","NAFLD was defined as liver steatosis on liver biopsy after exclusion of concomitant steatosis-inducing drugs, excessive alcohol consumption (>210 g/week in men or >140 g/week in women), chronic hepatitis B or C infection, and histological evidence of other concomitant chronic liver disease. NASH was defined as the presence of each of the three following conditions: steatosis grade 􏰃1; lobular nflammation grade 􏰃1; and ballooning grade 􏰃1. “Significant fibrosis” was defined as fibrosis stage F􏰃2.
","Homo sapiens","feces","16S","4","","Illumina","Logistic Regression","","0.1","No","","body mass index, diabetes, blood pressure, Hypertriglyceridemia, reduced HDL-C, MetS","","","","","","","Study 20","Experiment 1"
"2 months","France","non-alcoholic fatty liver disease","30","27","mild fibrosis (F 0-1)","significant fibrosis (F>2)","NAFLD was defined as liver steatosis on liver biopsy after exclusion of concomitant steatosis-inducing drugs, excessive alcohol consumption (>210 g/week in men or >140 g/week in women), chronic hepatitis B or C infection, and histological evidence of other concomitant chronic liver disease. NASH was defined as the presence of each of the three following conditions: steatosis grade 􏰃1; lobular nflammation grade 􏰃1; and ballooning grade 􏰃1. “Significant fibrosis” was defined as fibrosis stage F􏰃2.
","Homo sapiens","feces","16S","4","","Illumina","Logistic Regression","","0.05","No","","body mass index, diabetes, blood pressure, Hypertriglyceridemia, reduced HDL-C, MetS","","","","","","","Study 20","Experiment 2"
"","United States-Mexico Border","obesity","213","63","Human Microbiome Project samples","Cameron County Hispanic Cohort samples","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.02","Yes","","","","","","","","","Study 21","Experiment 1"
"","Russian Federation","parkinson's disease","66","89","Healthy controls","Parkinson's","","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","Yes","","","","","decreased","","","","Study 22","Experiment 1"
"6 months","United States of America","alzheimer's disease","25","25","Healhty controls","Alzheimer's","","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.05","Yes","age, sex","","","decreased","decreased","unchanged","unchanged","","Study 23","Experiment 1"
"2 months for healthy control only","China","chronic fatigue syndrome","45","46","Healthy controls","Chronic Fatigue patients","","Homo sapiens","oral gland","16S","3","4","Illumina","LEfSe","3","0.05","No","age, sex, body mass index","","","unchanged","","unchanged","","","Study 24","Experiment 1"
"","United States of America","psoriasis","6","6","Female","Psoriasis Male","tape stripping method involves the repeated application of adhesive tape to the skin surface, thereby removing stratum corneum layers, it creates a superficial wound showing slight skin irritation (erythema) and loss of barrier function (transepidermal water loss)","Homo sapiens","skin of body","16S","3","4","Roche454","Mann-Whitney (Wilcoxon)","","0.1","No","","","","increased","increased","","","","Study 25","Experiment 1"
"","Spain","sex design","39","36","male","female","three groups according to the BMI: BMI < 30; BMI between 30- 33; and BMI > 33.","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","age","","","","","","","","Study 26","Experiment 1"
"","Spain","obesity","13","13","male","BMI >33 female","three groups according to the BMI: BMI < 30; BMI between 30- 33; and BMI > 33.","Homo sapiens","feces","16S","4","","Illumina","Kruskall-Wallis","","0.05","Yes","age","","","","","","","","Study 26","Experiment 2"
"","United States of America","obesity","15","9","foster mother fat1 pre HFD","foster mother wild-type pre HFD","fat-1 mice: with a balanced tissue n-6/n-3 ratio (~ 1:1) and wild-type (WT) mice: with a high n-6/ n-3 ratio similar to the Western diet (> 10:1).","Mus musculus","feces","16S","3","4","Illumina","LEfSe","2.4","0.05","Yes","age","","","","","","","","Study 27","Experiment 1"
"","United States of America","obesity","15","9","foster mother fat1 post HFD","foster mother wild-type post HFD","fat-1 mice: with a balanced tissue n-6/n-3 ratio (~ 1:1) and wild-type (WT) mice: with a high n-6/ n-3 ratio similar to the Western diet (> 10:1).","Mus musculus","feces","16S","3","4","Illumina","LEfSe","2.4","0.05","Yes","age","","","","","","","","Study 27","Experiment 2"
"","United States of America","chronic fatigue syndrome","39","48","Healthy controls","CFS cases","Subjects with ME/CFS were established patients of a ME/ CFS specialist, Susan Levine, M.D. and fit the Fukuda diag- nostic criteria","Homo sapiens","feces","16S","4","","Illumina","LEfSe","2","0.05","Yes","","","","decreased","decreased","","","","Study 28","Experiment 1"
"1 month","China","unipolar depression","30","29","Healthy Controls","Active Major Depressive Disorder","The A-MDD group was defined as having an HAMDS score P20. The patients in the R-MDD group were defined as those with a baseline HAMDS scores P20 upon admission to the hospi- tal.","Homo sapiens","feces","16S","1","3","Roche454","LEfSe","2","0.05","No","","","","increased","","unchanged","","unchanged","Study 29","Experiment 1"
"1 month","China","unipolar depression","30","17","Healthy Controls","Responded Major Depressive Disorder","The A-MDD group was defined as having an HAMDS score P20. The patients in the R-MDD group were defined as those with a baseline HAMDS scores P20 upon admission to the hospi- tal.","Homo sapiens","feces","16S","1","3","Roche454","LEfSe","2","0.05","No","","","","unchanged","","unchanged","","unchanged","Study 29","Experiment 2"
"4 weeks","Belgium","chronic fatigue syndrome","19","17","Belgian controls","Norweigan controls","Patients were diagnosed for CFS according to the clinical criteria of Fukuda et al","Homo sapiens","feces","16S","5","6","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","","","","","Study 30","Experiment 1"
"4 weeks","Belgium","chronic fatigue syndrome","17","25","Norweigan controls","Norweigan CFS/ME patients","Patients were diagnosed for CFS according to the clinical criteria of Fukuda et al","Homo sapiens","feces","16S","5","6","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","","","","","Study 30","Experiment 2"
"4 weeks","Belgium","chronic fatigue syndrome","19","18","Belgian controls","Belgian CFS/ME patients","Patients were diagnosed for CFS according to the clinical criteria of Fukuda et al","Homo sapiens","feces","16S","5","6","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","","","","","Study 30","Experiment 3"
"3 months for controls only","United States of America","chronic fatigue syndrome","50","50","controls","CFS/ME patients","Cases met the 1994 CDC Fukuda and the 2003 Canadian consensus criteria for ME/CFS","Homo sapiens","feces","WMS","","","Illumina","LEfSe","2","0.2","Yes","age, sex, ethnic group, geographic area","","","","","","","","Study 31","Experiment 1"
"3 months for controls only","United States of America","chronic fatigue syndrome","50","21","controls","CFS/ME patients with IBS","Cases met the 1994 CDC Fukuda and the 2003 Canadian consensus criteria for ME/CFS","Homo sapiens","feces","WMS","","","Illumina","LEfSe","2","0.2","Yes","age, sex, ethnic group, geographic area","","","","","","","","Study 31","Experiment 2"
"3 months for controls only","United States of America","chronic fatigue syndrome","50","29","controls","CFS/ME patients without IBS","Cases met the 1994 CDC Fukuda and the 2003 Canadian consensus criteria for ME/CFS","Homo sapiens","feces","WMS","","","Illumina","LEfSe","2","0.2","Yes","age, sex, ethnic group, geographic area","","","","","","","","Study 31","Experiment 3"
"1 month","Italy","anorexia nervosa","15","15","Controls","Aonerxia Nervosa patients","The severity of eating disorder and psychopathology tests were assessed by means of the Symptom Checklist 90 (general psychopathology), Eating Disorder Inventory 2 (eating disorder), State Trait Anxiety Inventory (anxiety disorder) and Beck Depression Inventory (depressive symptoms). Psychologists and psychiatrists (all extensively trained in the use of the instruments) conducted clinical evaluations.","Homo sapiens","feces","16S","","","Illumina","t-test","","0.05","Yes","age, sex","","","","","","","","Study 32","Experiment 1"
"current use","Japan","obesity","4","6","controls","obese","BMI ≥25 kg/m2","Homo sapiens","feces","16S","3","4","Illumina","Welch's t-test","","0.05","No","","","","increased","","","","","Study 33","Experiment 1"
"1 month","Austria","bipolar disorder","10","32","Controls","Bipolar disorder","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","3","0.05","No","","","","unchanged","unchanged","unchanged","","unchanged","Study 34","Experiment 1"
"1 month","Austria","bipolar disorder","","","low IL-6","Bipolar patients with high IL-6","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","3","0.05","No","","","","","","","","","Study 34","Experiment 2"
"1 month","Austria","bipolar disorder","","","low total cholesterol","Bipolar patients with high total cholesterol","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","3","0.05","No","","","","","","","","","Study 34","Experiment 3"
"1 month","Austria","bipolar disorder","","","low LDL","Bipolar patients with high LDL","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","3","0.05","No","","","","","","","","","Study 34","Experiment 4"
"1 month","Austria","bipolar disorder","","","low TRP","Bipolar patients with high TRP","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","3","0.05","No","","","","","","","","","Study 34","Experiment 5"
"1 month","Austria","bipolar disorder","","","low TBARS level","Bipolar patients with high TBARS level","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","2","0.05","No","","","","","","","","","Study 34","Experiment 6"
"1 month","Austria","bipolar disorder","","","low MDA level","Bipolar patients with high MDA level","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","3","0.05","No","","","","","","","","","Study 34","Experiment 7"
"1 month","Austria","bipolar disorder","","","low BMI","Bipolar patients with high BMI","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","3","0.05","No","","","","","","","","","Study 34","Experiment 8"
"1 month","Austria","bipolar disorder","","","no metabolic syndrome","Bipolar patients with metabolic syndrome","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","3","0.05","No","","","","","","","","","Study 34","Experiment 9"
"1 month","Austria","bipolar disorder","","","healthier bipolar patients","Bipolar patients with depressive syndrome","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","3","0.05","No","","","","","","","","","Study 34","Experiment 10"
"1 month","Austria","bipolar disorder","10","27","Controls","Bipolar disorder","cases followed the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)21 diagnosis of bipolar I disorder","Homo sapiens","feces","16S","1","2","Ion Torrent","LEfSe","3","0.05","No","","","","","","","","","Study 34","Experiment 11"
"","China","sjogren's syndrome","23","22","Control","PSS","","Homo sapiens","oral gland","16S","3","4","Illumina","LEfSe","4","0.05","No","age,sex","","decreased","decreased","unchanged","","decreased","","Study 35","Experiment 1"
"2 months","Italy","obesity","25","12","control adult","obese adolescent","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","age","","","unchanged","decreased","","","","Study 36","Experiment 1"
"2 months","Italy","obesity","20","12","contorl adolescent","obese adult","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","age","","","unchanged","decreased","","","","Study 36","Experiment 2"
"2 months","Italy","obesity","12","12","control adult","control adolescent","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","age","","","unchanged","increased","","","","Study 36","Experiment 3"
